iteration, eigindex, value, type
0,N/A,0,t
0,0,169840855111282389417984.000000,A
1,0,-157.037734,vr
1,0,100.027811,vi
1,1,-157.037734,vr
1,1,-100.027811,vi
1,2,-170.935992,vr
1,2,0.000000,vi
1,3,-9.198904,vr
1,3,89.408377,vi
1,4,-9.198904,vr
1,4,-89.408377,vi
1,5,98.732813,vr
1,5,42.494453,vi
1,6,98.732813,vr
1,6,-42.494453,vi
1,7,73.801848,vr
1,7,0.000000,vi
1,8,-59.393612,vr
1,8,0.000000,vi
1,9,-38.575046,vr
1,9,0.000000,vi
1,N/A,1.324376,t
1,0,272724.595273,A
2,0,52739975845.285004,vr
2,0,26595368795.187679,vi
2,1,52739975845.285004,vr
2,1,-26595368795.187679,vi
2,2,-41233263202.281540,vr
2,2,41402767772.459015,vi
2,3,-41233263202.281540,vr
2,3,-41402767772.459015,vi
2,4,-49541862502.091690,vr
2,4,17885104271.895233,vi
2,5,-49541862502.091690,vr
2,5,-17885104271.895233,vi
2,6,-2104377899.108577,vr
2,6,26892870077.512402,vi
2,7,-2104377899.108577,vr
2,7,-26892870077.512402,vi
2,8,20052521897.872723,vr
2,8,0.000000,vi
2,9,967896842.888647,vr
2,9,0.000000,vi
2,N/A,2.592464,t
2,0,17333306064103526105088.000000,A
3,0,-518.061282,vr
3,0,223.239030,vi
3,1,-518.061282,vr
3,1,-223.239030,vi
3,2,13.243236,vr
3,2,389.882952,vi
3,3,13.243236,vr
3,3,-389.882952,vi
3,4,317.743235,vr
3,4,0.000000,vi
3,5,-214.494769,vr
3,5,192.073141,vi
3,6,-214.494769,vr
3,6,-192.073141,vi
3,7,124.715736,vr
3,7,0.000000,vi
3,8,-6.508994,vr
3,8,49.603634,vi
3,9,-6.508994,vr
3,9,-49.603634,vi
3,N/A,3.852461,t
3,0,612139.749256,A
4,0,68947425779.449677,vr
4,0,32308618072.654850,vi
4,1,68947425779.449677,vr
4,1,-32308618072.654850,vi
4,2,-70910219186.284637,vr
4,2,26328864095.547325,vi
4,3,-70910219186.284637,vr
4,3,-26328864095.547325,vi
4,4,5619444332.195723,vr
4,4,9485302707.076609,vi
4,5,5619444332.195723,vr
4,5,-9485302707.076609,vi
4,6,-26986581812.402363,vr
4,6,45820453099.125923,vi
4,7,-26986581812.402363,vr
4,7,-45820453099.125923,vi
4,8,-35857945373.522552,vr
4,8,49751935676.126289,vi
4,9,-35857945373.522552,vr
4,9,-49751935676.126289,vi
4,N/A,5.098457,t
4,0,13316425836808502247424.000000,A
5,0,-645.425541,vr
5,0,321.720618,vi
5,1,-645.425541,vr
5,1,-321.720618,vi
5,2,365.970957,vr
5,2,0.000000,vi
5,3,-72.866386,vr
5,3,494.572689,vi
5,4,-72.866386,vr
5,4,-494.572689,vi
5,5,-289.718689,vr
5,5,332.051888,vi
5,6,-289.718689,vr
5,6,-332.051888,vi
5,7,108.381215,vr
5,7,0.000000,vi
5,8,-50.739301,vr
